country,City,ClinicName,Latitude,Longitude,Address,Phone Number,Website,name,url
italy,Casale Monferrato,Ambulatorio di Procreazione Medicalmente Assistita - Ospedale S. Spirito - ASL 21 - Casale Monferrato,,,,,,,
italy,Tortona,Medicart - Centro Cardiologico e Polispecialistico s.r.l.,44.9079871,8.8753042,"Via Brigata Garibaldi 1/A, 15057 Tortona AL, Italy",0131 866267,http://www.medicartsrl.it/,MedicArt Centri Medici Diagnostici e Polispecialistici,https://maps.google.com/?cid=11621434157890577963
italy,Ancona,Centro PMA - Presidio Ospedaliero G. Salesi,43.6168727,13.5319658,"Via Filippo Corridoni, 11, 60123 Ancona AN, Italy",071 5961,http://www.ospedaliriuniti.marche.it/portale/index.php?id_sezione=37&id_doc=430,Ancona Hospital Salesi,https://maps.google.com/?cid=9126104112662060808
italy,Ancona,Future Medical Care,43.5941954,13.5026966,"Via Achille Barilatti, 7, 60127 Ancona AN, Italy",071 236 0975,https://www.futuremedicalcare.it/,"FMC - FUTURE MEDICAL CARE - Struttura Sanitaria Polispecialistica, Diagnostica, Chirurgica e Centro PMA di II^ Livello",https://maps.google.com/?cid=13695754095971268597
italy,Senigallia,Villa Sorriso,43.7087874,13.2340792,"Lungomare Dante Alighieri, 98, 60019 Senigallia AN, Italy",328 792 0988,http://www.hotelvillasorrisosenigallia.it/,Hotel Villa Sorriso,https://maps.google.com/?cid=6768537471657671830
italy,Aosta,Centro PMA Valle d'Aosta,45.7429634,7.3413605,"Via L. Vaccari, 5, 11100 Aosta AO, Italy",0165 5431,,Ospedale Beauregard,https://maps.google.com/?cid=16534867955615399169
italy,Ascoli Piceno,Fertility Center - Centro Analisi,42.8545104,13.5923244,"Viale Indipendenza, 42, 63100 Ascoli Piceno AP, Italy",0736 336246,https://www.centrodiagnosticopiceno.it/,Centro Diagnostico Piceno,https://maps.google.com/?cid=6499927669051064721
italy,Ascoli Piceno,Fertlity Center,42.8587397,13.5789336,"Viale Vellei Sinibaldo, 16, 63100 Ascoli Piceno AP, Italy",0736 521202,https://centromedicoascoli.it/,Medical Center,https://maps.google.com/?cid=17980815097211115604
italy,L'Aquila,U.O.C. Ostetricia e Ginecologia D.U. (con Centro Fivet) - del P.O. dell'Aquila,,,,,,,
italy,Cortona,Centro Procreazione Medicalmente Assistita - Ospedale Valdichiana Santa Margherita,43.2787274,11.9236675,"Ospedale Santa Margherita di Cortona, Località Fratta, 145, 52044 Cortona AR, Italy",0575 639272,http://www.retepma.it/,Centro di PMA - Ospedale Santa Margherita di Cortona,https://maps.google.com/?cid=11032904310109324476
italy,Asti,Centro di Medicina della Riproduzione - SOC Ostetricia e Ginecologia dell'Ospedale Cardinal Massaia,44.9124245,8.1945359,"Corso Dante Alighieri, 202, 14100 Asti AT, Italy",0141 481111,http://portale.asl.at.it/Apps/portaleasl.nsf/index.htm,Ospedale Cardinal Massaia,https://maps.google.com/?cid=16123837545118080007
italy,Avellino,Fisiopatologia della Riproduzione e Sterilità di Coppia - A.O.R.N. San Giuseppe Moscati di Avellino,,,,,,,
italy,Bari,Centro di Procreazione Medicalmente Assistita (PMA) e Congelamento dei Gameti e Biobanca- A.O. Policlinico Consorziale di Bari,41.1144475,16.862997,"Via Lucera, 6, 70124 Bari BA, Italy",800 088 247,https://ivitalia.it/centri/bari/?utm_source=google-mb&utm_medium=organic&utm_campaign=ivi_it_clinica-bari_conversion,IVI Bari,https://maps.google.com/?cid=2928107983960102917
italy,Bari,"Centro Medico ""San Luca""",41.1096938,16.8602551,"Viale Orazio Flacco, 11, 70124 Bari BA, Italy",080 561 7851,http://www.procreare.it/,San Luca Medical Center,https://maps.google.com/?cid=4088251082718776032
italy,Acquaviva delle Fonti,"Centro per la Diagnosi e Terapia dell'Infertilità di Coppia - Ospedale Generale Regionale ""F. Miulli""",,,,,,,
italy,Bari,Centro PMA - Casa di Cura Santa Maria,41.1087836,16.8615205,"Via Antonio de Ferrariis, 22, 70124 Bari BA, Italy",080 504 0111,https://ospedali.gvmnet.it/osp/ospedale-santa-maria?utm_source=google&utm_medium=Yext&utm_campaign=GVMOSM6&y_source=1_MzE1ODQ0MTEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,Santa Maria Spa,https://maps.google.com/?cid=3290454991336463245
italy,Bari,IVI Bari S.r.l.,41.1144475,16.862997,"Via Lucera, 6, 70124 Bari BA, Italy",800 088 247,https://ivitalia.it/centri/bari/?utm_source=google-mb&utm_medium=organic&utm_campaign=ivi_it_clinica-bari_conversion,IVI Bari,https://maps.google.com/?cid=2928107983960102917
italy,Molfetta,Prolab srl,41.2013138,16.5991859,"Via Bettino Ricasoli, 2, 70056 Molfetta BA, Italy",080 876 5177,https://www.prolab-pma.it/,Prolab Srl - Centro di Procreazione Medicalmente Assistita,https://maps.google.com/?cid=14089124267039306385
italy,Conversano,U.O. Fisiopatologia della Riproduzione Umana e P.M.A.,,,,,,,
italy,Bergamo,Centro di Fisiopatologia della Riproduzione - A.O. Papa Giovanni XXIII,45.6859074,9.6365205,"Piazza OMS, 1, 24127 Bergamo BG, Italy",035 267111,http://www.asst-pg23.it/,ASST Ospedale Papa Giovanni XXIII,https://maps.google.com/?cid=11139866532322451328
